disease_agent,gideon_disease,region,pop
BACTERIUM,Melioidosis,China,376883675
BACTERIUM,Melioidosis,India,198149282
BACTERIUM,Melioidosis,Southeast Asia,243553839
BACTERIUM,Melioidosis,Africa,30050982
PARASITE,Metagonimiasis,rest of Asia,271752013
PARASITE,Metagonimiasis,China,454792067
PARASITE,Metagonimiasis,India,207730235
PARASITE,Metagonimiasis,Southeast Asia,3868724
PARASITE,Metagonimiasis,Africa,77185391
PARASITE,Metagonimiasis,Central America and Caribbean,105087858
PARASITE,Metagonimiasis,Europe,497537846
PARASITE,Metagonimiasis,North America,210332961
FUNGUS,Microsporidiosis,rest of Asia,130262825
FUNGUS,Microsporidiosis,China,384421737
FUNGUS,Microsporidiosis,India,202789749
FUNGUS,Microsporidiosis,Southeast Asia,244039557
FUNGUS,Microsporidiosis,Africa,252921479
FUNGUS,Microsporidiosis,Central America and Caribbean,42781592
FUNGUS,Microsporidiosis,South America,14558139
FUNGUS,Microsporidiosis,Europe,131411526
FUNGUS,Microsporidiosis,North America,85352929
VIRUS,Nipah virus infection,rest of Asia,97898464
VIRUS,Nipah virus infection,China,285645447
VIRUS,Nipah virus infection,India,296464482
VIRUS,Nipah virus infection,Southeast Asia,323204457
VIRUS,Nipah virus infection,Africa,515071064
VIRUS,Nipah virus infection,Oceania,805948
BACTERIUM,North Asian tick typhus,rest of Asia,166909713
BACTERIUM,North Asian tick typhus,China,345868259
BACTERIUM,North Asian tick typhus,India,269638944
BACTERIUM,North Asian tick typhus,Africa,465158619
BACTERIUM,North Asian tick typhus,Europe,448449838
PARASITE,Opisthorchiasis,rest of Asia,284921922
PARASITE,Opisthorchiasis,China,460545215
PARASITE,Opisthorchiasis,India,212104935
PARASITE,Opisthorchiasis,Southeast Asia,33245092
PARASITE,Opisthorchiasis,Africa,77237145
PARASITE,Opisthorchiasis,Europe,498327121
PARASITE,Opisthorchiasis,North America,188845901
FUNGUS,Paracoccidioidomycosis,rest of Asia,160811356
FUNGUS,Paracoccidioidomycosis,China,264861506
FUNGUS,Paracoccidioidomycosis,India,242422272
FUNGUS,Paracoccidioidomycosis,Southeast Asia,172312147
FUNGUS,Paracoccidioidomycosis,Africa,28659943
FUNGUS,Paracoccidioidomycosis,Central America and Caribbean,96068990
FUNGUS,Paracoccidioidomycosis,South America,236176763
FUNGUS,Paracoccidioidomycosis,Europe,141081915
FUNGUS,Paracoccidioidomycosis,North America,75106419
PARASITE,Paragonimiasis,rest of Asia,271762714
PARASITE,Paragonimiasis,China,458946318
PARASITE,Paragonimiasis,India,236883252
PARASITE,Paragonimiasis,Southeast Asia,37063020
PARASITE,Paragonimiasis,Africa,109485025
PARASITE,Paragonimiasis,Central America and Caribbean,105362952
PARASITE,Paragonimiasis,South America,30575634
PARASITE,Paragonimiasis,Europe,497537846
PARASITE,Paragonimiasis,North America,216847796
PARASITE,Pentastomiasis - Linguatula,rest of Asia,46390764
PARASITE,Pentastomiasis - Linguatula,China,59955600
PARASITE,Pentastomiasis - Linguatula,India,75447919
PARASITE,Pentastomiasis - Linguatula,Southeast Asia,57109923
PARASITE,Pentastomiasis - Linguatula,Africa,255509201
PARASITE,Pentastomiasis - Linguatula,Oceania,5
PARASITE,Pentastomiasis - Linguatula,Central America and Caribbean,40476766
PARASITE,Pentastomiasis - Linguatula,South America,9106066
PARASITE,Pentastomiasis - Linguatula,Europe,4593883
PARASITE,Pentastomiasis - Linguatula,North America,85352929
BACTERIUM,Plague,rest of Asia,240990760
BACTERIUM,Plague,China,253013590
BACTERIUM,Plague,India,311461030
BACTERIUM,Plague,Southeast Asia,241192747
BACTERIUM,Plague,Africa,739793762
BACTERIUM,Plague,Central America and Caribbean,107686845
BACTERIUM,Plague,South America,51956373
BACTERIUM,Plague,Europe,487984720
BACTERIUM,Plague,North America,214193485
VIRUS,Powassan,rest of Asia,271752013
VIRUS,Powassan,China,454792067
VIRUS,Powassan,India,207730235
VIRUS,Powassan,Southeast Asia,3868724
VIRUS,Powassan,Africa,77185391
VIRUS,Powassan,Central America and Caribbean,113690120
VIRUS,Powassan,Europe,497537846
VIRUS,Powassan,North America,217587250
BACTERIUM,Q-fever,rest of Asia,245281049
BACTERIUM,Q-fever,China,266542162
BACTERIUM,Q-fever,India,305798895
BACTERIUM,Q-fever,Southeast Asia,172312147
BACTERIUM,Q-fever,Africa,470018173
BACTERIUM,Q-fever,Central America and Caribbean,113372373
BACTERIUM,Q-fever,South America,97518030
BACTERIUM,Q-fever,Europe,498649913
BACTERIUM,Q-fever,North America,211471252
VIRUS,Rabies,rest of Asia,300475232
VIRUS,Rabies,China,466482491
VIRUS,Rabies,India,311614431
VIRUS,Rabies,Southeast Asia,329945736
VIRUS,Rabies,Africa,736085225
VIRUS,Rabies,Oceania,17455382
VIRUS,Rabies,Central America and Caribbean,139267169
VIRUS,Rabies,South America,262082882
VIRUS,Rabies,Europe,500327550
VIRUS,Rabies,North America,220606439
BACTERIUM,Relapsing fever,Africa,221707388
BACTERIUM,Relapsing fever,Central America and Caribbean,139086437
BACTERIUM,Relapsing fever,South America,80422381
BACTERIUM,Relapsing fever,Europe,2137377
BACTERIUM,Relapsing fever,North America,219658533
BACTERIUM,Rickettsia felis infection,rest of Asia,272011808
BACTERIUM,Rickettsia felis infection,China,454792067
BACTERIUM,Rickettsia felis infection,India,311316773
BACTERIUM,Rickettsia felis infection,Southeast Asia,3868724
BACTERIUM,Rickettsia felis infection,Africa,492910145
BACTERIUM,Rickettsia felis infection,Central America and Caribbean,108897204
BACTERIUM,Rickettsia felis infection,South America,95518169
BACTERIUM,Rickettsia felis infection,Europe,499334640
BACTERIUM,Rickettsia felis infection,North America,212111663
BACTERIUM,Rickettsialpox,rest of Asia,271139841
BACTERIUM,Rickettsialpox,China,439421690
BACTERIUM,Rickettsialpox,India,303610898
BACTERIUM,Rickettsialpox,Southeast Asia,111574437
BACTERIUM,Rickettsialpox,Africa,507509149
